country,folder,year,ppp,currency,rate
nl,17,2010,1.07899,eur,1
at,18,2010,1.07945,eur,1
pl,19,2010,2.51684,pln,4.3276
pt,20,2010,0.892417,eur,1
ro,21,2010,2.44094,ron,4.2399
si,22,2010,0.879537,eur,1
sk,23,2010,0.731899,eur,1
fi,24,2010,1.24087,eur,1
se,25,2010,11.4293,sek,10.6191
is,26,2010,173.186,isk,172.67
no,27,2010,12.1705,nok,8.7278
ch,28,2010,2.07844,chf,1.51
tr,30,2010,1.3704,try,2.1631
ie,31,2010,1.218675,eur,1
uk,32,2010,0.924883,gbp,0.85784
hr,33,2010,5.60416,hrk,7.34
mk,34,2010,27.7854,mkd,61.2815
be,1,2009,1.10344,eur,1
bg,2,2009,0.96576,bgn,1.9558
cz,3,2009,19.2709,czk,24.946
dk,4,2009,10.4147,dkk,7.456
de,5,2009,1.0354,eur,1
ee,6,2009,0.766411,eur,1
el,7,2009,0.917093,eur,1
es,8,2009,0.9506,eur,1
fr,9,2009,1.10728,eur,1
it,10,2009,1.02444,eur,1
cy,11,2009,0.876894,eur,1
lv,12,2009,0.750787,lvl,1
lt,13,2009,2.27716,ltl,3.4528
lu,14,2009,1.17175,eur,1
hu,15,2009,174.555,huf,251.51
mt,16,2009,0.773653,eur,1
nl,17,2009,1.0409,eur,1
at,18,2009,1.0512,eur,1
pl,19,2009,2.4321,pln,3.5121
pt,20,2009,0.878624,eur,1
ro,21,2009,2.323,ron,3.6826
si,22,2009,0.827846,eur,1
sk,23,2009,0.724813,eur,1
fi,24,2009,1.20691,eur,1
se,25,2009,10.8526,sek,9.6152
is,26,2009,148.924,isk,143.83
no,27,2009,11.5586,nok,8.2237
ch,28,2009,2.04007,chf,1.5874
tr,30,2009,1.30032,try,1.9064
ie,31,2009,1.29672,eur,1
uk,32,2009,0.862826,gbp,0.89094
be,1,2008,1.07417,eur,1
bg,2,2008,0.891266,bgn,1.9558
cz,3,2008,17.3233,czk,27.766
dk,4,2008,10.2275,dkk,7.4506
de,5,2008,1.01678,eur,1
ee,6,2008,0.733378,eur,1
el,7,2008,0.897614,eur,1
es,8,2008,0.928404,eur,1
fr,9,2008,1.08038,eur,1
it,10,2008,1.02467,eur,1
cy,11,2008,0.511814237,cyp,0.58263
lv,12,2008,0.664057,lvl,1
lt,13,2008,2.07161,ltl,3.4528
lu,14,2008,1.14748,eur,1
hu,15,2008,167.648,huf,251.35
mt,16,2008,0.754574,eur,1
nl,17,2008,1.01986,eur,1
at,18,2008,1.02542,eur,1
pl,19,2008,2.33518,pln,3.7837
pt,20,2008,0.856792,eur,1
ro,21,2008,2.12606,ron,3.3353
si,22,2008,0.788702,eur,1
sk,23,2008,23.93330275,skk,33.775
fi,24,2008,1.1956,eur,1
se,25,2008,10.6917,sek,9.2501
is,26,2008,130.474,isk,87.63
no,27,2008,11.0199,nok,8.0165
ch,28,2008,2.05398,chf,1.6427
tr,30,2008,1.25191,try,1.7865
ie,31,2008,1.265595,eur,1
uk,32,2008,0.820678,gbp,0.79628
be,1,2007,1.07693,eur,1
bg,2,2007,0.877722,bgn,1.9558
cz,3,2007,17.3831,czk,28.342
dk,4,2007,10.3211,dkk,7.4591
de,5,2007,1.02607,eur,1
ee,6,2007,0.685165,eur,1
el,7,2007,0.89047,eur,1
es,8,2007,0.917655,eur,1
fr,9,2007,1.08532,eur,1
it,10,2007,1.04199,eur,1
cy,11,2007,0.505200888,cyp,0.57578
lv,12,2007,0.60224,lvl,1
lt,13,2007,1.97975,ltl,3.4528
lu,14,2007,1.11342,eur,1
hu,15,2007,160.238,huf,264.26
mt,16,2007,0.747745,eur,1
nl,17,2007,1.04029,eur,1
at,18,2007,1.0194,eur,1
pl,19,2007,2.43276,pln,3.8959
pt,20,2007,0.849422,eur,1
ro,21,2007,2.03174,ron,3.5258
si,22,2007,0.766647,eur,1
sk,23,2007,26.36837412,skk,37.234
fi,24,2007,1.22712,eur,1
se,25,2007,10.9628,sek,9.2544
is,26,2007,126.959,isk,87.76
no,27,2007,11.247,nok,8.0472
ch,28,2007,2.11732,chf,1.5729
tr,30,2007,1.20198,try,1.809
ie,31,2007,1.24509,eur,1
uk,32,2007,0.780546,gbp,0.68434
be,1,2006,1.06398,eur,1
bg,2,2006,0.845607,bgn,1.9558
cz,3,2006,17.3119,czk,29.782
dk,4,2006,10.4589,dkk,7.4518
de,5,2006,1.03269,eur,1
ee,6,2006,0.646706,eur,1
el,7,2006,0.882489,eur,1
es,8,2006,0.911073,eur,1
fr,9,2006,1.08196,eur,1
it,10,2006,1.04702,eur,1
cy,11,2006,0.512478268,cyp,0.57683
lv,12,2006,0.565316,lvl,1
lt,13,2006,1.89351,ltl,3.4528
lu,14,2006,1.11592,eur,1
hu,15,2006,157.136,huf,248.05
mt,16,2006,0.321455576,mtl,0.4299
nl,17,2006,1.04661,eur,1
at,18,2006,1.02491,eur,1
pl,19,2006,2.45658,pln,4.023
pt,20,2006,0.85053,eur,1
ro,21,2006,,ron,
si,22,2006,183.6640885,sit,239.568
sk,23,2006,27.68123425,skk,38.599
fi,24,2006,1.23595,eur,1
se,25,2006,11.0502,sek,9.2822
is,26,2006,119.955,isk,78.23
no,27,2006,11.2655,nok,8.0092
ch,28,2006,,chf,
tr,30,2006,1.11907,try,1.6771
ie,31,2006,1.23964,eur,1
uk,32,2006,0.754455,gbp,0.68173
be,1,2005,1.06725,eur,1
bg,2,2005,,bgn,
cz,3,2005,17.6646,czk,31.891
dk,4,2005,10.3821,dkk,7.4399
de,5,2005,1.0474,eur,1
ee,6,2005,0.630701,eur,1
el,7,2005,0.875971,eur,1
es,8,2005,0.909505,eur,1
fr,9,2005,1.09944,eur,1
it,10,2005,1.04914,eur,1
cy,11,2005,0.518097277,cyp,0.58185
lv,12,2005,0.531941,lvl,1
lt,13,2005,1.8473,ltl,3.4529
lu,14,2005,1.03019,eur,1
hu,15,2005,156.009,huf,251.66
mt,16,2005,0.312753724,mtl,0.428
nl,17,2005,1.0612,eur,1
at,18,2005,1.0328,eur,1
pl,19,2005,2.40953,pln,4.5268
pt,20,2005,0.873523,eur,1
ro,21,2005,,ron,
si,22,2005,181.6858625,sit,239.0874
sk,23,2005,28.39356788,skk,40.022
fi,24,2005,1.2378,eur,1
se,25,2005,11.0767,sek,9.1243
is,26,2005,120.119,isk,87.14
no,27,2005,11.3149,nok,8.3697
ch,28,2005,,chf,
tr,30,2005,,try,
ie,31,2005,1.24663,eur,1
uk,32,2005,0.750414,gbp,0.6838
be,1,2004,1.06533,eur,1
bg,2,2004,,bgn,
cz,3,2004,,czk,
dk,4,2004,10.4856,dkk,7.4307
de,5,2004,,eur,
